"id","parent_category_id","name","status"
800,119,"Adapter","active"
801,119,"KVM Switch","active"
802,119,"Modem Pool","active"
803,119,"Modem USB","active"
804,119,"Modem Wifi","active"
805,119,"Network Card","active"
806,119,"Network Transceiver","active"
807,119,"Optical Power Meter","active"
808,119,"Penguat Sinyal","active"
809,119,"Power Over Ethernet","active"
810,119,"Powerline","active"
811,119,"Print Server","active"
812,119,"Router","active"
813,119,"Switch Internet","active"
814,121,"Anti-Virus","active"
815,121,"Multimedia","active"
816,121,"Sistem Operasi","active"
817,121,"Work Services","active"
818,122,"Bahan Puding & Agar - Agar","active"
819,122,"Baking Powder","active"
820,122,"Baking Soda","active"
821,122,"Coklat Bubuk","active"
822,122,"Coklat Masak","active"
823,122,"Perisa Makanan","active"
824,122,"Pewarna Makanan","active"
825,122,"Ragi","active"
826,122,"Topping & Penghias Kue","active"
827,124,"Bumbu Lainnya","active"
828,124,"Bumbu Masak Instan","active"
829,124,"Cuka","active"
830,124,"Garam & Merica","active"
831,124,"Gula","active"
832,124,"Kaldu & Penyedap Rasa","active"
833,124,"Kecap","active"
834,124,"Mayonnaise","active"
